,X,deploy_num.x,site,bare,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,evenness,seagrass_comb,richness_comb,shannonD_comb,evenness_comb,totalcover,avg_shoot_density,avg_blade_length,max_10,max_25perc,site_code,habitat,depth_m_avg,temp_avg,sal_avg,dist_m_sum,total_abund_sum,comm_richness_sum,comm_shannonD_sum,comm_evenness_sum,carnivore,herbivore,omnivore,carn_2,detritivore,herb_2,invertivore,omni_2,piscivore,planktivore,X1_Depth_m,X2_Depth_m,X1_Temp_C,X2_Temp_C,X1_Sal_ppt,X2_Sal_ppt,X1_total_abund,X2_total_abund,X1_richness,X2_richness,X1_shannonD,X2_shannonD,X1_evenness,X2_evenness,avg_spl_low,avg_spl_Llow,avg_spl_MFlow,avg_spl_high
1,1,1,Creek_7,81.06060606,0,0,0,0.606060606,9.242424242,9.090909091,0,3,0.812560482,1.703048175,0,3,0.231179837,1.703048175,18.93939394,NA,NA,NA,NA,C7,creek,1,25.85,35,283,2.826855124,2,0.693147181,2.302585093,0.11778563,0,0,0,0,0,0.256986829,0,0,0,1,1,25.8,25.9,35,35,1.438848921,1.388888889,1,1,0,0,NA,NA,101.8691743,92.53303936,101.3311599,88.3485554
2,2,1,Mudflat_2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,MF2,mudflat,0.5,25.4,36,255,3.921568627,1,0,NA,0.163398693,0,0,0,0,0,0.356506239,0,0,0,0.5,0.5,25.4,25.4,36,36,1.587301587,2.325581395,1,1,0,0,NA,NA,103.9698324,96.84263308,103.0344375,90.23610304
3,3,1,Seagrass_10,74.60606061,24.90909091,0.333333333,0,0.151515152,0,0,0,3,0.10634669,0.222892375,25.24242424,2,0.10634669,0.222892375,25.39393939,58.1,5.771504854,22.5093,20.84133333,SG10,seagrass,0.5,25.4,36,233,103.8626609,6,0.517487125,0.66502126,4.113018598,0,0.468201327,0,1.716738197,0,8.583690987,0,0.122624157,1.030042918,0.5,0.5,25.4,25.4,36,36,4.347826087,98.30508475,1,6,0,0.534372471,NA,0.686720571,95.57126209,95.2451247,84.16537651,86.18342959
4,4,1,Seagrass_12,60.3030303,36.15151515,2.242424242,0,1.272727273,0,0,0.03030303,4,0.363305269,0.603436991,38.39393939,3,0.357335754,0.603436991,39.6969697,115.5,8.370303571,27.7493,27.04799199,SG12,seagrass,0.4,24.75,36,226,257.5221239,8,0.352749234,0.39060253,10.69321534,0,0.080450523,1.327433628,3.097345133,0,22.36524537,0,0.252844501,0.17699115,0.4,0.4,24.6,24.9,36,36,182.4074074,79.66101695,7,4,0.382530027,0.220218562,0.452645739,0.365775114,100.4876149,99.14817968,94.72647025,87.91235593
5,5,2,Creek_2,44.21212121,0,0,0,1.696969697,49.39393939,4.696969697,0,3,0.422367757,0.885241965,0,3,0.145745085,0.885241965,55.78787879,NA,NA,NA,NA,C2,creek,1.5,29.6,35,297,6.734006734,3,0.63903186,1.339348967,0.280583614,0,0,0,0,0,0.61218243,0,0,0,1,2,29.6,29.6,35,35,6.802721088,0,3,0,0.63903186,0,1.339348967,0,111.7026172,104.1500404,110.8635983,107.6968375
6,6,2,Mudflat_1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,MF1,mudflat,1.125,28.6,35,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.25,28.6,28.6,35,35,0,0,0,0,0,0,0,0,109.6657496,103.5979042,108.4319972,90.37893563
7,7,2,Seagrass_2,39.15151515,50.60606061,5.545454545,0,4.393939394,0.303030303,0,0,4,0.587785426,0.976290461,56.15151515,3,0.587785426,0.976290461,60.84848485,126.9090909,15.00574775,7.977033333,8.220074074,SG2,seagrass,0.875,29.4,35,266,773.6842105,11,0.484843766,0.465572471,32.20551378,0,0.0683527,2.631578947,16.54135338,0,66.30211893,0,0.751879699,0.15037594,1,0.75,29.4,29.4,35,35,484.0764331,246.7889908,10,6,0.474040367,0.456676476,0.474040367,0.586873665,95.76049595,95.24078839,86.28298047,101.6476056
8,8,2,Seagrass_4,64.3030303,25.81818182,9.242424242,0,0.636363636,0,0,0,3,0.655975925,1.374862088,35.06060606,2,0.655975925,1.374862088,35.6969697,53.75,10.78745556,11.887,11.92974038,SG4,seagrass,1,28.9,35,361,782.8254848,14,0.578533637,0.504772258,32.5023084,0.55401662,0.201460589,0.831024931,27.42382271,0.27700831,65.32359607,0,0.949742778,0.110803324,1,1,28.9,28.9,35,35,119.0789474,589.4736842,7,11,0.484215911,0.5799492,0.572970103,0.556897708,105.789676,105.3998482,95.12710414,99.36927823
9,9,3,Creek_B,86.36363636,1.515151515,0,0,0,0,11.66666667,0.454545455,3,0.490979612,1.029045776,1.515151515,3,0,1.029045776,13.63636364,NA,9.207111111,23.55797778,25.89036667,CB,creek,0.65,27.75,36,255,21.17647059,5,1.475841521,2.111451867,0.392156863,0,1.069518717,0,1.960784314,0,0.855614973,0.896358543,0,0.31372549,0.5,0.8,27.5,28,36,36,2.325581395,19.04761905,3,5,1.098612289,1.445185879,2.302585093,2.067593559,94.38571798,93.30797328,87.80529963,82.9477465
10,10,3,Mudflat_Core,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,MA,mudflat,0.9,28.8,35,264,5.303030303,1,0,NA,0,0,0.482093664,0,0,0,0,0,0,1.060606061,0.8,1,28.8,28.8,35,35,5.109489051,0,1,0,0,0,NA,0,NA,NA,NA,NA
