,bare,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,evenness,seagrass_comb,richness_comb,shannonD_comb,evenness_comb,totalcover,avg_shoot_density,avg_blade_length,max_10,max_25perc
bare,1,0.116076451,NA,NA,-0.735097273,-0.820709038,-0.530258214,0.116076451,-0.799015474,-0.497481444,-0.407458867,0.116076451,-0.799015474,-0.518701258,-0.407458867,-1,NA,NA,NA,NA
halodule,0.116076451,1,NA,NA,-0.190710477,-0.215084983,0.068559175,1,0.261785157,0.114686453,0.068590529,1,0.261785157,-0.20897282,0.068590529,-0.116076451,NA,NA,NA,NA
zostera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ruppia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
algae,-0.735097273,-0.190710477,NA,NA,1,0.829632128,0.041334891,-0.190710477,0.549176893,0.420789671,0.301543864,-0.190710477,0.549176893,0.759872289,0.301543864,0.735097273,NA,NA,NA,NA
oyster,-0.820709038,-0.215084983,NA,NA,0.829632128,1,-0.048186714,-0.215084983,0.593508908,0.385426334,0.29668058,-0.215084983,0.593508908,0.468134372,0.29668058,0.820709038,NA,NA,NA,NA
saltmarsh,-0.530258214,0.068559175,NA,NA,0.041334891,-0.048186714,1,0.068559175,0.498599104,0.285836676,0.265335851,0.068559175,0.498599104,0.202373127,0.265335851,0.530258214,NA,NA,NA,NA
other,0.116076451,1,NA,NA,-0.190710477,-0.215084983,0.068559175,1,0.261785157,0.114686453,0.068590529,1,0.261785157,-0.20897282,0.068590529,-0.116076451,NA,NA,NA,NA
richness,-0.799015474,0.261785157,NA,NA,0.549176893,0.593508908,0.498599104,0.261785157,1,0.856240193,0.762174066,0.261785157,1,0.601765807,0.762174066,0.799015474,NA,NA,NA,NA
shannonD,-0.497481444,0.114686453,NA,NA,0.420789671,0.385426334,0.285836676,0.114686453,0.856240193,1,0.955811538,0.114686453,0.856240193,0.674274665,0.955811538,0.497481444,NA,NA,NA,NA
evenness,-0.407458867,0.068590529,NA,NA,0.301543864,0.29668058,0.265335851,0.068590529,0.762174066,0.955811538,1,0.068590529,0.762174066,0.516937193,1,0.407458867,NA,NA,NA,NA
seagrass_comb,0.116076451,1,NA,NA,-0.190710477,-0.215084983,0.068559175,1,0.261785157,0.114686453,0.068590529,1,0.261785157,-0.20897282,0.068590529,-0.116076451,NA,NA,NA,NA
richness_comb,-0.799015474,0.261785157,NA,NA,0.549176893,0.593508908,0.498599104,0.261785157,1,0.856240193,0.762174066,0.261785157,1,0.601765807,0.762174066,0.799015474,NA,NA,NA,NA
shannonD_comb,-0.518701258,-0.20897282,NA,NA,0.759872289,0.468134372,0.202373127,-0.20897282,0.601765807,0.674274665,0.516937193,-0.20897282,0.601765807,1,0.516937193,0.518701258,NA,NA,NA,NA
evenness_comb,-0.407458867,0.068590529,NA,NA,0.301543864,0.29668058,0.265335851,0.068590529,0.762174066,0.955811538,1,0.068590529,0.762174066,0.516937193,1,0.407458867,NA,NA,NA,NA
totalcover,-1,-0.116076451,NA,NA,0.735097273,0.820709038,0.530258214,-0.116076451,0.799015474,0.497481444,0.407458867,-0.116076451,0.799015474,0.518701258,0.407458867,1,NA,NA,NA,NA
avg_shoot_density,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
avg_blade_length,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
max_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
max_25perc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
