,bare,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,evenness,seagrass_comb,richness_comb,shannonD_comb,evenness_comb,totalcover,avg_shoot_density,avg_blade_length,max_10,max_25perc
bare,1,-0.848710953,-0.280699927,-0.4256965,0.01966152,-0.283360349,NA,0.104962014,-0.261705692,-0.391754194,-0.372855109,-0.996075558,0.182699273,-0.392069611,-0.372855109,-1,-0.53923143,-0.004477756,0.215905116,0.149280956
halodule,-0.848710953,1,-0.14012522,0.04637459,-0.190927547,0.305938831,NA,0.009427847,0.095001237,-0.088126626,-0.118017185,0.859779013,-0.115161973,-0.088116893,-0.118017185,0.848710953,0.68444865,0.062006332,-0.334263637,-0.299640353
zostera,-0.280699927,-0.14012522,1,0.139274321,0.235890089,-0.019582135,NA,-0.198697051,-0.13167072,0.595998529,0.734282634,0.259708448,-0.288700172,0.596700322,0.734282634,0.280699927,-0.273379045,-0.070271677,0.079694334,0.141303026
ruppia,-0.4256965,0.04637459,0.139274321,1,-0.051014958,-0.14334227,NA,-0.14334227,0.548416794,0.72894335,0.624835846,0.429034154,-0.101178662,0.729234654,0.624835846,0.4256965,0.037895247,-0.05532936,0.240262619,0.280666294
algae,0.01966152,-0.190927547,0.235890089,-0.051014958,1,0.706383077,NA,0.033740948,0.366293182,0.221995758,0.187255423,-0.108015094,0.584607214,0.221644195,0.187255423,-0.01966152,0.03891312,-0.091669652,-0.269153764,-0.258859187
oyster,-0.283360349,0.305938831,-0.019582135,-0.14334227,0.706383077,1,NA,-0.090909091,0.426401433,0.109941966,0.041048349,0.217212377,0.522232968,0.110380071,0.041048349,0.283360349,0.534105421,-0.053504048,-0.623189124,-0.604080724
saltmarsh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
other,0.104962014,0.009427847,-0.198697051,-0.14334227,0.033740948,-0.090909091,NA,1,0.426401433,-0.123594258,-0.180830555,-0.107428948,0.522232968,-0.129194109,-0.180830555,-0.104962014,0.411799675,-0.412761426,0.325320853,0.283553083
richness,-0.261705692,0.095001237,-0.13167072,0.548416794,0.366293182,0.426401433,NA,0.426401433,1,0.559422259,0.3827983,0.227149492,0.612372436,0.556594342,0.3827983,0.261705692,0.615397178,-0.198778879,0.004043015,-0.003500124
shannonD,-0.391754194,-0.088126626,0.595998529,0.72894335,0.221995758,0.109941966,NA,-0.123594258,0.559422259,1,0.975460534,0.370778327,0.060025894,0.999984066,0.975460534,0.391754194,0.099393896,-0.06252586,0.050545191,0.098022936
evenness,-0.372855109,-0.118017185,0.734282634,0.624835846,0.187255423,0.041048349,NA,-0.180830555,0.3827983,0.975460534,1,0.355284762,-0.045879718,0.975787846,1,0.372855109,-0.011921638,-0.054626387,0.049472162,0.10396385
seagrass_comb,-0.996075558,0.859779013,0.259708448,0.429034154,-0.108015094,0.217212377,NA,-0.107428948,0.227149492,0.370778327,0.355284762,1,-0.23444133,0.37112286,0.355284762,0.996075558,0.530740512,0.012716755,-0.189164509,-0.123769753
richness_comb,0.182699273,-0.115161973,-0.288700172,-0.101178662,0.584607214,0.522232968,NA,0.522232968,0.612372436,0.060025894,-0.045879718,-0.23444133,1,0.057011898,-0.045879718,-0.182699273,0.440014819,-0.335229868,-0.010072326,-0.060137423
shannonD_comb,-0.392069611,-0.088116893,0.596700322,0.729234654,0.221644195,0.110380071,NA,-0.129194109,0.556594342,0.999984066,0.975787846,0.37112286,0.057011898,1,0.975787846,0.392069611,0.096979817,-0.060132819,0.048658189,0.096339401
evenness_comb,-0.372855109,-0.118017185,0.734282634,0.624835846,0.187255423,0.041048349,NA,-0.180830555,0.3827983,0.975460534,1,0.355284762,-0.045879718,0.975787846,1,0.372855109,-0.011921638,-0.054626387,0.049472162,0.10396385
totalcover,-1,0.848710953,0.280699927,0.4256965,-0.01966152,0.283360349,NA,-0.104962014,0.261705692,0.391754194,0.372855109,0.996075558,-0.182699273,0.392069611,0.372855109,1,0.53923143,0.004477756,-0.215905116,-0.149280956
avg_shoot_density,-0.53923143,0.68444865,-0.273379045,0.037895247,0.03891312,0.534105421,NA,0.411799675,0.615397178,0.099393896,-0.011921638,0.530740512,0.440014819,0.096979817,-0.011921638,0.53923143,1,-0.041542737,-0.178649189,-0.177221629
avg_blade_length,-0.004477756,0.062006332,-0.070271677,-0.05532936,-0.091669652,-0.053504048,NA,-0.412761426,-0.198778879,-0.06252586,-0.054626387,0.012716755,-0.335229868,-0.060132819,-0.054626387,0.004477756,-0.041542737,1,0.046116908,0.098227054
max_10,0.215905116,-0.334263637,0.079694334,0.240262619,-0.269153764,-0.623189124,NA,0.325320853,0.004043015,0.050545191,0.049472162,-0.189164509,-0.010072326,0.048658189,0.049472162,-0.215905116,-0.178649189,0.046116908,1,0.989489004
max_25perc,0.149280956,-0.299640353,0.141303026,0.280666294,-0.258859187,-0.604080724,NA,0.283553083,-0.003500124,0.098022936,0.10396385,-0.123769753,-0.060137423,0.096339401,0.10396385,-0.149280956,-0.177221629,0.098227054,0.989489004,1
