site,habitat,deploy_num,lat,long,ST_color,transect,transect1_lat_start,transect1_long_start,transect1_lat_end,transect1_long_end,transect2_lat_start,transect2_long_start,transect2_lat_end,transect2_long_end,transect3_lat_start,transect3_long_start,transect3_lat_end,transect3_long_end
Creek_7,creek,1,34.63508333,-76.5302,blue,1,34.63493333,-76.53016667,34.63536667,-76.53025,34.635,-76.5299,34.63508333,-76.5304,34.63518333,-76.52993333,34.63495,-76.53036667
Mudflat_2,mudflat,1,34.70761667,-76.597,yellow,1,34.70782,-76.597125,34.70743333,-76.59695333,34.70771833,-76.59729167,34.70757,-76.59677167,34.70785833,-76.59692667,34.70742,-34.59707167
Seagrass_10,seagrass,1,34.66981667,-76.564,red,1,34.66993333,-76.56348333,34.66975,-76.56426667,34.67003333,-76.56388333,34.66963333,-76.56416667,34.66973333,-76.56376667,34.66998333,-76.68088333
Seagrass_12,seagrass,1,34.66261667,-76.55798,green,1,34.66243333,-76.55786667,34.66281667,-76.55816667,34.66251667,-76.55776667,34.66273333,-76.55823333,34.66243333,-76.55801667,34.66286667,-76.55796667
Creek_2,creek,2,34.6932,-76.6135,blue,1,34.69324,-76.61378,34.69324,-76.61378,34.69308,-76.61378,34.69327,-76.6134,34.69308,-76.61322,34.69329,-76.6137
Mudflat_1,mudflat,2,34.69326,-76.62637,green,1,34.69313,-76.6265,34.69345,-76.62613,34.69302,-76.62622,34.69334,-76.62643,34.69333,-76.62645,34.69319,-76.62656
Seagrass_2,seagrass,2,34.69881,-76.59599,yellow,1,34.69857,-76.59608,34.699,-34.5959,34.69854,-76.59594,34.69901,-76.59603,34.69854,-76.59594,34.69901,-76.59603
Seagrass_4,seagrass,2,34.70428,-76.58696,red,1,34.70405,-76.58692,34.7045,-76.58699,34.70422,-76.58687,34.70444,-76.58714,34.7041,-76.58714,34.7044,-76.58682
Creek_B,creek,3,34.75903333,-76.43635,green,1,34.75923333,-76.4362,34.75885,-76.43643333,34.759,-76.43605,34.75911667,-76.43655,34.75933333,-76.43631667,34.75886667,-76.43635
Mudflat_Core,mudflat,3,34.84963333,-76.3561,red,1,34.84975,-76.35586667,34.8495,-76.35621667,34.84961667,-76.35628333,34.84966667,-76.35575,34.84951667,-76.35583333,34.84975,-76.35631667
Seagrass_B,seagrass,3,34.76266667,-76.4403,yellow,1,34.76288333,-76.44013333,34.76246667,-76.44033333,34.7627,-76.4405,34.26253333,-76.44003333,34.76246667,-76.44033333,34.76246667,-76.44031667
Seagrass_C,seagrass,3,34.74528333,-76.4503,blue,1,34.74545,-76.44998333,34.74501667,-76.43388333,34.74551667,-76.45023333,34.74505,-76.45033333,34.74551667,-76.45055,34.74508333,-76.45025
Creek_8,creek,4,34.64163333,-76.5302,green,1,NA,NA,34.6418,-76.53033333,34.64165,-76.52991667,34.64161667,-76.53046667,34.64188333,-76.53015,34.64145,-76.53015
Mudflat_7,mudflat,4,34.6571,-76.5283,red,1,34.65708333,-76.52671667,34.65711667,-76.52848333,34.65693333,-76.52808333,34.65721667,-76.52838333,34.65691667,-76.5284,34.65716667,-76.52816667
Seagrass_6,seagrass,4,34.6719,-76.5743,blue,1,34.67181667,-76.57415,34.67201667,-76.57463333,34.67196667,-76.57466667,34.6719,-76.57413333,34.67218333,-76.57443333,34.67171667,-76.57433333
Seagrass_9,seagrass,4,34.66635,-76.5666,yellow,1,34.66625,-76.56635,34.66643333,-76.56683333,34.66661667,-76.56681667,34.66641667,-76.56631667,34.65826667,-76.5999,34.66615,-76.56655
Creek_4,creek,5,34.7188,-76.6089,red,1,34.719,-76.60891667,34.7186,-76.609,34.71901667,-76.60408333,34.71868333,-76.6089,34.71876667,-76.60931667,34.7188,-76.60886667
Creek_5,creek,5,34.70975,-76.6007,yellow,1,34.70836,-76.60061667,34.70958333,-76.60098333,34.70985,-76.60108333,NA,NA,34.70988333,-76.60086667,34.70963333,-76.60065
Seagrass_14,seagrass,5,34.6706,-76.5545,green,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seagrass_15,seagrass,5,34.65731,-76.54071,blue,1,34.65714,-76.54089,34.65747,-76.54053,34.65747,-76.54079,34.65749,-76.54065,34.65706,-76.54031,34.65748,-76.54075
Creek_3,creek,6,34.697,-76.6072,red,1,34.68353333,-76.60728333,NA,NA,34.6946,-76.60696,34.69696,-76.60737,34.6971,-76.607,34.69695,-76.6136
Creek_6,creek,6,34.6561,-76.5235,blue,1,34.6561,-76.5234,34.65605,-76.52357,34.65614,-76.52352,34.65602,-76.52351,34.65609,-76.52369,34.65613,-76.52349
Seagrass_1,seagrass,6,34.69122,-76.62159,yellow,1,34.6913,-76.62175,34.691,-76.62143333,34.6913,-76.62175,34.691,-76.62143333,34.6913,-76.62095,34.6912,-76.62176667
Seagrass_17,seagrass,6,34.66416667,-76.5288,green,1,34.66395,-76.52885,34.66435,-76.52873333,34.59735,-76.52858333,34.66431667,-76.529,34.66413333,-76.52856667,34.66416667,-76.52905
